formula,bulk_modulus,shear_modulus,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
RbTiS2,52.24549101,30.63517982,Rb1 Ti1 S2,16,37,21,22.75,7.125,16,4,88,84,55.75,32.25,88,32.065,85.4678,53.4028,49.3662,18.050800000000002,32.065,312.46,1941,1628.54,757.5450000000001,591.7275,388.36,1,16,15,9.25,6.75,16,3,5,2,3.75,0.75,3,105,220,115,147.5,42.5,105,0.82,2.58,1.7600000000000002,1.88,0.7000000000000001,2.58,1,2,1,1.75,0.375,2,0,4,4,2,2,4,0,2,2,0.5,0.75,0,0,0,0,0,0,0,1,6,5,4.25,1.75,6,0,1,1,0.25,0.375,0,0,2,2,1,1,2,0,8,8,2,3,0,0,0,0,0,0,0,1,8,7,3.25,2.375,2,16.69,90.7225,74.0325,39.746562499999996,25.48796875,25.786875,0,2.202,2.202,1.101,1.101,2.202,0,2.25333333333e-05,2.25333333333e-05,5.633333333325e-06,8.4499999999875e-06,0,70,229,159,140.75,70.75,70
Rb2ZrF6,21.94441128,10.01948917,Rb2 Zr1 F6,9,40,31,18.666666666666668,12.88888888888889,9,4,93,89,67.77777777777777,33.62962962962963,93,18.9984032,91.224,72.2255968,41.79444657777778,30.394724503703703,18.9984032,53.5,2128,2074.5,341.5466666666667,396.98962962962963,53.5,1,17,16,12,6.666666666666667,17,2,5,3,3,1.3333333333333333,2,57,220,163,106.33333333333333,65.77777777777777,57,0.82,3.98,3.16,2.983333333333333,1.328888888888889,3.98,1,2,1,1.7777777777777777,0.34567901234567905,2,0,5,5,3.3333333333333335,2.2222222222222223,5,0,2,2,0.2222222222222222,0.3950617283950617,0,0,0,0,0,0,0,1,7,6,5.333333333333333,2.2222222222222223,7,0,1,1,0.2222222222222222,0.345679012,0,0,1,1,0.6666666666666666,0.4444444444444444,1,0,8,8,0.8888888888888888,1.5802469135802468,0,0,0,0,0,0,0,1,8,7,1.7777777777777777,1.382716049382716,1,9.7075,90.7225,81.015,29.209444444444443,27.339135802469134,9.7075,0,1.97,1.97,1.3133333333333335,0.8755555555555554,1.97,0,0,0,0,0,0,15,229,214,82.44444444444444,89.92592592592592,15
Na2PdC2,45.79421553,20.42234502,Na2 Pd1 C2,6,46,40,16,12,6,2,77,75,44,33.6,2,12.0107,106.42,94.4093,35.28418771,28.454324915200004,12.0107,370.87,3823,3452.13,2043.1580000000001,1423.8736000000001,370.87,1,14,13,8,5.6,1,2,5,3,3,0.8,2,76,166,90,124.6,38.88,76,0.93,2.55,1.6199999999999997,1.832,0.7215999999999999,0.93,0,2,2,1.2,0.64,1,0,2,2,0.8,0.9600000000000002,0,0,10,10,2,3.2,0,0,0,0,0,0,0,1,10,9,4,2.4,1,0,1,1,0.4,0.4800000000000001,0,0,4,4,1.6,1.9200000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1.6,1,5.64,29.24333333,23.60333333,16.83533333,9.9264,5.64,0,4.496,4.496,1.7984000000000002,2.1580800000000004,0,0,0,0,0,0,0,194,229,35,214.2,16.160000000000004,194
BaPPt,79.63118131,31.28705406,Ba1 P1 Pt1,15,78,63,49.666666666666664,23.111111111111114,15,9,83,74,51.666666666666664,28.444444444444446,9,30.973762,195.084,164.110238,121.12825400000001,60.10299466666666,30.973762,317.3,2041.4,1724.1000000000001,1119.5666666666666,614.5555555555555,317.3,2,15,13,9,4.666666666666667,2,3,6,3,5,1.3333333333333333,3,107,215,108,152.66666666666666,41.55555555555555,107,0.89,2.28,1.3899999999999997,1.7866666666666664,0.5977777777777777,0.89,1,2,1,1.6666666666666667,0.4444444444444444,1,0,3,3,1,1.3333333333333333,0,0,9,9,3,4,0,0,14,14,4.666666666666667,6.222222222222221,0,2,24,22,10.333333333333334,9.111111111111112,2,0,1,1,0.3333333333333333,0.4444444444444445,0,0,3,3,1,1.3333333333333333,0,0,1,1,0.3333333333333333,0.4444444444444445,0,0,0,0,0,0,0,0,3,3,1.6666666666666667,1.111111111111111,0,15.02,63.59,48.57000000000001,33.726746031733335,19.908835978844447,15.02,0,1.625,1.625,0.5416666666666666,0.7222222222222222,0,0,0,0,0,0,0,2,229,227,152,100,2
RbScO2,95.00652254,55.38144868,Rb1 Sc1 O2,8,37,29,18.5,10.5,8,4,87,83,47.25,39.75,87,15.9994,85.4678,69.4684,40.605627999999996,24.606227999999998,15.9994,54.8,1814,1759.2,559.015,627.4925000000001,54.8,1,16,15,9,7,16,2,5,3,3.25,1.25,2,66,220,154,130.5,64.5,66,0.82,3.44,2.62,2.265,1.175,3.44,1,2,1,1.75,0.375,2,0,4,4,2,2,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,1,6,5,4,2,6,0,1,1,0.25,0.375,0,0,2,2,1,1,2,0,9,9,2.25,3.375,0,0,0,0,0,0,0,1,9,8,3.5,2.75,2,9.105,90.7225,81.61749999999999,32.791875,28.965312499999996,9.105,0,0,0,0,0,0,0,6.35e-06,6.35e-06,1.5875e-06,2.3812500000000003e-06,0,12,229,217,111.75,99.75,12
KScO2,97.59652533,62.08267338,K1 Sc1 O2,8,21,13,14,6,8,3,87,84,47,40,87,15.9994,44.955912,28.956511999999996,29.013253000000002,13.013853000000001,15.9994,54.8,1814,1759.2,565.0324999999999,624.48375,54.8,1,16,15,9,7,16,2,4,2,3,1,2,66,203,137,126.25,60.25,66,0.82,3.44,2.62,2.265,1.175,3.44,1,2,1,1.75,0.375,2,0,4,4,2,2,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,1,6,5,4,2,6,0,1,1,0.25,0.375,0,0,2,2,1,1,2,0,9,9,2.25,3.375,0,0,0,0,0,0,0,1,9,8,3.5,2.75,2,9.105,73.10666667,64.00166666669999,28.387916666674997,22.359375,9.105,0,0,0,0,0,0,0,6.35e-06,6.35e-06,1.5875e-06,2.3812500000000003e-06,0,12,229,217,111.75,99.75,12
NiAsS,109.0144214,58.76836248,Ni1 As1 S1,16,33,17,25.666666666666668,6.444444444444444,16,61,88,27,77.66666666666667,11.111111111111109,61,32.065,74.9216,42.8566,55.22666666666667,15.44111111111111,32.065,388.36,1728,1339.6399999999999,1068.7866666666666,453.6177777777778,388.36,10,16,6,13.666666666666666,2.4444444444444446,10,3,4,1,3.6666666666666665,0.4444444444444445,3,105,124,19,116,7.333333333333333,105,1.91,2.58,0.6700000000000002,2.223333333333333,0.23777777777777773,1.91,2,2,0,2,0,2,0,4,4,2.3333333333333335,1.5555555555555554,0,0,10,10,6,4,0,0,0,0,0,0,0,6,15,9,10.333333333333334,3.111111111111111,6,0,0,0,0,0,0,0,3,3,1.6666666666666667,1.111111111111111,0,0,2,2,0.6666666666666666,0.8888888888888888,0,0,0,0,0,0,0,2,3,1,2.3333333333333335,0.4444444444444445,2,10.32,25.786875,15.466874999999998,19.427291666666665,6.071527777777778,10.32,0,2.202,2.202,0.734,0.9786666666666667,0,0,0.5953947,0.5953947,0.19846490000000003,0.2646198666666667,0,70,225,155,153.66666666666666,55.77777777777778,70
AlP,85.17136893,47.20107127,Al1 P1,13,15,2,14,1,13,73,83,10,78,5,73,26.9815386,30.973762,3.9922234000000003,28.9776503,1.9961117000000002,26.9815386,317.3,933.47,616.1700000000001,625.385,308.08500000000004,317.3,13,15,2,14,1,13,3,3,0,3,0,3,107,121,14,114,7,107,1.61,2.19,0.5799999999999998,1.9,0.2899999999999999,1.61,2,2,0,2,0,2,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,1,3,16.48,22.5702381,6.090238095,19.52511905,3.045119048,16.48,0,1.625,1.625,0.8125,0.8125,0,0,0,0,0,0,0,2,225,223,113.5,111.5,2
Au2O3,81.32893657,38.21258503,Au2 O3,8,79,71,36.4,34.08,8,66,87,21,78.6,10.080000000000002,87,15.9994,196.966569,180.96716899999998,88.3862676,86.86424112,15.9994,54.8,1337.33,1282.53,567.812,615.6144,54.8,11,16,5,14,2.4,16,2,6,4,3.6,1.9200000000000004,2,66,136,70,94,33.6,66,2.54,3.44,0.8999999999999999,3.08,0.43199999999999994,3.44,1,2,1,1.6,0.48,2,0,4,4,2.4,1.9200000000000004,4,0,10,10,4,4.8,0,0,14,14,5.6,6.719999999999999,0,6,25,19,13.6,9.12,6,0,1,1,0.4,0.4800000000000001,0,0,2,2,1.2,0.9600000000000002,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.6,0.48,2,9.105,16.7,7.594999999999999,12.143,3.6455999999999995,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,97.2,102.24000000000001,12
Cr2NiS4,111.8044059,59.72873674,Cr2 Ni1 S4,16,28,12,20,4.571428571428571,16,49,88,39,73,17.142857142857142,88,32.065,58.6934,26.6284,41.563657142857146,10.855608163265307,32.065,388.36,2180,1791.6399999999999,1091.6342857142859,803.7420408163265,388.36,6,16,10,12.285714285714286,4.244897959183674,16,3,4,1,3.4285714285714284,0.4897959183673469,3,105,139,34,117.42857142857143,14.204081632653061,105,1.66,2.58,0.9200000000000002,2.2214285714285715,0.409795918,2.58,1,2,1,1.7142857142857142,0.4081632653061225,2,0,4,4,2.2857142857142856,1.959183673469388,4,0,8,8,2.5714285714285716,2.9387755102040813,0,0,0,0,0,0,0,6,10,4,6.571428571428571,0.9795918367346937,6,0,1,1,0.2857142857142857,0.40816326530612246,0,0,2,2,1.1428571428571428,0.979591837,2,0,5,5,1.7142857142857142,1.9591836734693877,0,0,0,0,0,0,0,2,6,4,3.142857142857143,1.6326530612244898,2,10.32,25.786875,15.466874999999998,19.406785714285714,7.291530612244897,25.786875,0,2.202,2.202,1.2582857142857142,1.0785306122448979,2.202,0,0.5953947,0.5953947,0.085056386,0.14581094693877553,0,70,229,159,137.57142857142858,77.22448979591836,70
Y2CuO4,145.0787959,58.49622251,Y2 Cu1 O4,8,39,31,19.857142857142858,13.551020408163266,8,12,87,75,62.285714285714285,28.73469387755102,87,15.9994,88.90585,72.90645,43.62218571428571,31.56889795918367,15.9994,54.8,1799,1744.2,739.2814285714286,782.2644897959184,54.8,3,16,13,11.571428571428571,5.061224489795919,16,2,5,3,3.142857142857143,1.3061224489795917,2,66,190,124,110.85714285714286,51.26530612244898,66,1.22,3.44,2.2199999999999998,2.585714285714286,0.976326531,3.44,1,2,1,1.8571428571428572,0.24489795918367344,2,0,4,4,2.2857142857142856,1.959183673469388,4,0,10,10,1.7142857142857142,2.3673469387755106,0,0,0,0,0,0,0,3,11,8,5.857142857142857,1.632653061,6,0,1,1,0.14285714285714285,0.24489795918367346,0,0,2,2,1.1428571428571428,0.979591837,2,0,9,9,2.5714285714285716,3.673469387755102,0,0,0,0,0,0,0,1,9,8,3.857142857142857,2.9387755102040813,2,9.105,32.365,23.26,16.031428571428574,9.333469387755104,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,94.42857142857143,94.20408163265304,12
LiF,69.88112627,50.94339401,Li1 F1,3,9,6,6,3,3,1,93,92,47,46,1,6.941,18.9984032,12.0574032,12.969701599999999,6.0287016,6.941,53.5,453.69,400.19,253.595,200.095,53.5,1,17,16,9,8,1,2,2,0,2,0,2,57,128,71,92.5,35.5,57,0.98,3.98,3,2.48,1.5,0.98,1,2,1,1.5,0.5,1,0,5,5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,4,3,1,0,1,1,0.5,0.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,9.7075,16.59333333,6.885833333299999,13.150416666649999,3.4429166666499995,9.7075,0,1.97,1.97,0.985,0.985,0,0,0,0,0,0,0,15,229,214,122,107,15
Y3AlC,79.64658651,63.38141023,Y3 Al1 C1,6,39,33,27.2,14.160000000000002,39,12,77,65,37.2,30.24,12,12.0107,88.90585,76.89515,61.14195772000001,33.31667074,88.90585,933.47,3823,2889.5299999999997,2030.6940000000002,716.9224000000002,1799,3,14,11,7.2,5.040000000000001,3,2,5,3,4,1.2,5,76,190,114,153.4,43.92,190,1.22,2.55,1.3299999999999998,1.564,0.4128,1.22,2,2,0,2,0,2,0,2,2,0.6,0.72,0,0,1,1,0.6,0.4800000000000001,1,0,0,0,0,0,0,3,4,1,3.2,0.3200000000000001,3,0,0,0,0,0,0,0,5,5,1.8,2.16,0,0,9,9,5.4,4.32,9,0,0,0,0,0,0,4,9,5,7.2,2.16,9,5.64,32.365,26.725,23.843,10.226400000000002,32.365,0,4.496,4.496,0.8992000000000001,1.4387200000000002,0,0,0,0,0,0,0,194,225,31,200.2,9.919999999999993,194
RbMgF3,65.28140972,41.93446656,Rb1 Mg1 F3,9,37,28,15.2,8.719999999999999,9,4,93,89,70.2,27.360000000000003,93,18.9984032,85.4678,66.4693968,33.353601919999996,20.84567923,18.9984032,53.5,923,869.5,279.192,270.8304,53.5,1,17,16,10.8,7.44,17,2,5,3,2.8,0.96,2,57,220,163,106.4,59.279999999999994,57,0.82,3.98,3.16,2.814,1.3992,3.98,1,2,1,1.8,0.31999999999999995,2,0,5,5,3,2.4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,4.8,2.6399999999999997,7,0,1,1,0.2,0.32,0,0,1,1,0.6,0.4800000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,0.31999999999999995,1,9.7075,90.7225,81.015,28.546999999999997,24.870199999999997,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0,0,0,0,0,15,229,214,93.6,94.32000000000001,15
YCuSi,90.4731515,59.11351629,Y1 Cu1 Si1,14,39,25,27.333333333333332,8.888888889,14,12,78,66,51.333333333333336,26.222222222222218,12,28.0855,88.90585,60.820350000000005,60.179116666666665,21.395744444444443,28.0855,1357.77,1799,441.23,1614.5900000000001,171.21333333333328,1357.77,3,14,11,9.333333333333334,4.222222222222222,3,3,5,2,4,0.6666666666666666,3,111,190,79,144.33333333333334,30.444444444444446,111,1.22,1.9,0.6799999999999999,1.6733333333333331,0.3022222222222222,1.22,1,2,1,1.6666666666666667,0.4444444444444444,1,0,2,2,0.6666666666666666,0.888888889,0,0,10,10,3.6666666666666665,4.222222222222222,0,0,0,0,0,0,0,3,11,8,6,3.3333333333333335,3,0,1,1,0.3333333333333333,0.4444444444444444,0,0,4,4,1.3333333333333333,1.777777777777778,0,0,9,9,3,4,0,0,0,0,0,0,0,1,9,8,4.666666666666667,2.8888888888888893,1,11.07,32.365,21.295,21.291666666666668,7.3822222222222225,11.07,0,0.773,0.773,0.25766666666666665,0.3435555555555556,0,0,0,0,0,0,0,194,227,33,215.33333333333334,14.22222222222222,194
LiTiS2,67.91694393,48.20618481,Li1 Ti1 S2,3,22,19,14.25,5.625,16,1,88,87,55,33,88,6.941,47.867,40.925999999999995,29.734499999999997,11.39675,32.065,388.36,1941,1552.6399999999999,792.8525,574.07375,388.36,1,16,15,9.25,6.75,16,2,4,2,3,0.5,3,105,160,55,124.5,19.5,105,0.98,2.58,1.6,1.92,0.66,2.58,1,2,1,1.75,0.375,2,0,4,4,2,2,4,0,2,2,0.5,0.75,0,0,0,0,0,0,0,1,6,5,4.25,1.75,6,0,1,1,0.25,0.375,0,0,2,2,1,1,2,0,8,8,2,3,0,0,0,0,0,0,0,1,8,7,3.25,2.375,2,16.59333333,25.786875,9.193541667,21.21427083,4.572604166674999,25.786875,0,2.202,2.202,1.101,1.101,2.202,0,2.25333333333e-05,2.25333333333e-05,5.633333333325e-06,8.4499999999875e-06,0,70,229,159,140.75,70.75,70
KNiF3,74.67599156,40.36990082,K1 Ni1 F3,9,28,19,14.8,6.959999999999999,9,3,93,90,68.6,29.28,93,18.9984032,58.6934,39.6949968,30.95738192,14.35077446,18.9984032,53.5,1728,1674.5,445.006,513.1976000000001,53.5,1,17,16,12.4,5.5200000000000005,17,2,4,2,2.8,0.96,2,57,203,146,99.6,51.12,57,0.82,3.98,3.16,2.934,1.2551999999999999,3.98,1,2,1,1.8,0.31999999999999995,2,0,5,5,3,2.4,5,0,8,8,1.6,2.56,0,0,0,0,0,0,0,1,10,9,6.4,2.1599999999999997,7,0,1,1,0.2,0.32,0,0,1,1,0.6,0.4800000000000001,1,0,2,2,0.4,0.64,0,0,0,0,0,0,0,1,2,1,1.2,0.31999999999999995,1,9.7075,73.10666667,63.39916667,22.509833333339998,20.238733333343998,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.5953947,0.5953947,0.11907894000000001,0.190526304,0,15,229,214,99.8,101.75999999999999,15
InCuO2,120.799033,36.6270419,In1 Cu1 O2,8,49,41,23.5,15.5,8,64,87,23,78.25,8.75,87,15.9994,114.818,98.8186,52.5907,36.591300000000004,15.9994,54.8,1357.77,1302.97,474.28,441.745,54.8,11,16,5,14,2,16,2,5,3,3.25,1.25,2,66,142,76,101.5,35.5,66,1.78,3.44,1.66,2.6399999999999997,0.8,3.44,1,2,1,1.75,0.375,2,0,4,4,2.25,1.75,4,0,10,10,5,5,0,0,0,0,0,0,0,6,13,7,9,3,6,0,1,1,0.25,0.375,0,0,5,5,2.25,1.375,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2.5,1.25,2,9.105,24.26,15.155000000000001,13.385,5.4375,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,97,85,12
NaMgF3,70.41938609,43.13417888,Na1 Mg1 F3,9,12,3,10,1.2,9,2,93,91,69.8,27.839999999999996,93,18.9984032,24.305,5.306596800000001,20.85799578,2.2315110912000007,18.9984032,53.5,923,869.5,290.87399999999997,284.8488,53.5,1,17,16,10.8,7.44,17,2,3,1,2.4,0.48,2,57,166,109,95.6,46.32,57,0.93,3.98,3.05,2.836,1.3728,3.98,1,2,1,1.8,0.31999999999999995,2,0,5,5,3,2.4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,4.8,2.6399999999999997,7,0,1,1,0.2,0.32,0,0,1,1,0.6,0.4800000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,0.31999999999999995,1,9.7075,29.24333333,19.53583333,16.25116667,7.8523999999920004,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0,0,0,0,0,15,229,214,93.6,94.32000000000001,15
Ca(CuSi)2,92.90786942,53.65351729,Ca1 Cu2 Si2,14,29,15,21.2,6.24,14,7,78,71,58.2,20.479999999999997,64,28.0855,63.546,35.460499999999996,44.6682,15.10224,28.0855,1115,1687,572,1440.908,196.87359999999998,1357.77,2,14,12,10.4,3.3599999999999994,11,3,4,1,3.6,0.48,3,111,176,65,132.4,17.440000000000005,111,1,1.9,0.8999999999999999,1.72,0.2879999999999999,1.9,1,2,1,1.6,0.48,1,0,2,2,0.8,0.9600000000000002,0,0,10,10,4,4.8,0,0,0,0,0,0,0,2,11,9,6.4,3.6799999999999997,4,0,1,1,0.4,0.4800000000000001,0,0,4,4,1.6,1.9200000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1.6,1,11.07,37.77,26.700000000000003,20.158,7.2704,11.07,0,0.773,0.773,0.30920000000000003,0.37104,0,0,0,0,0,0,0,225,227,2,225.8,0.9600000000000023,225
Y(SiIr)2,180.4363595,62.8016957,Y1 Si2 Ir2,14,77,63,44.2,26.24,14,12,78,66,57.6,18.240000000000002,60,28.0855,192.217,164.13150000000002,105.90217,69.051864,28.0855,1687,2739,1052,2130.2,487.03999999999996,1687,3,14,11,9.8,3.3600000000000003,9,3,6,3,4.6,1.28,3,111,190,79,138.8,22.24,111,1.22,2.2,0.9800000000000002,1.884,0.2656000000000001,1.9,2,2,0,2,0,2,0,2,2,0.8,0.9600000000000002,0,0,7,7,3,3.2,0,0,14,14,5.6,6.719999999999999,0,3,23,20,11.4,9.280000000000001,4,0,0,0,0,0,0,0,4,4,1.6,1.9200000000000004,0,0,9,9,3,2.4,0,0,0,0,0,0,0,3,9,6,4.6,1.7599999999999998,3,14.21,32.365,18.155,20.333000000000002,4.8984000000000005,14.21,0,0.773,0.773,0.30920000000000003,0.37104000000000004,0,0,0,0,0,0,0,194,227,33,219.6,10.240000000000004,225
VAuS2,105.5581249,51.74676171,V1 Au1 S2,16,79,63,33.5,22.75,16,46,88,42,72,16,88,32.065,196.966569,164.901569,78.00951724999999,59.478525874999995,32.065,388.36,2183,1794.6399999999999,1074.2625,685.9024999999999,388.36,5,16,11,12,4,16,3,6,3,4,1,3,105,153,48,124.75,19.75,105,1.63,2.58,0.9500000000000002,2.3325,0.35125000000000006,2.58,1,2,1,1.75,0.375,2,0,4,4,2,2,4,0,10,10,3.25,3.375,0,0,14,14,3.5,5.25,0,5,25,20,10.5,7.25,6,0,1,1,0.25,0.375,0,0,2,2,1,1,2,0,7,7,1.75,2.625,0,0,0,0,0,0,0,1,7,6,3,2,2,13.01,25.786875,12.776874999999999,20.3209375,5.465937499999999,25.786875,0,2.202,2.202,1.101,1.101,2.202,0,0,0,0,0,0,70,229,159,148.5,78.5,70
MgCuP,93.89332415,48.1432506,Mg1 Cu1 P1,12,29,17,18.666666666666668,6.888888888888889,12,64,83,19,71.66666666666667,7.555555555555557,64,24.305,63.546,39.241,39.608253999999995,15.958497333333332,24.305,317.3,1357.77,1040.47,866.0233333333334,365.8155555555555,317.3,2,15,13,9.333333333333334,4.888888888888888,2,3,4,1,3.3333333333333335,0.4444444444444445,3,107,141,34,126.66666666666667,13.111111111111109,107,1.31,2.19,0.8799999999999999,1.8,0.3266666666666666,1.31,1,2,1,1.6666666666666667,0.4444444444444444,1,0,3,3,1,1.3333333333333333,0,0,10,10,3.3333333333333335,4.444444444444445,0,0,0,0,0,0,0,2,11,9,6,3.3333333333333335,2,0,1,1,0.3333333333333333,0.4444444444444444,0,0,3,3,1,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.3333333333333333,1.111111111111111,0,11.07,22.89,11.82,18.8434127,5.182275132266667,11.07,0,1.625,1.625,0.5416666666666666,0.7222222222222223,0,0,0,0,0,0,0,2,225,223,140.33333333333334,92.22222222222221,2
CoPtO2,178.5976473,59.27884848,Co1 Pt1 O2,8,78,70,30.25,23.875,8,58,87,29,73.75,13.25,87,15.9994,195.084,179.0846,71.50399875000001,61.790000625000005,15.9994,54.8,2041.4,1986.6000000000001,979.75,924.95,54.8,9,16,7,12.75,3.25,16,2,6,4,3.5,1.5,2,66,136,70,98.5,32.5,66,1.88,3.44,1.56,2.76,0.68,3.44,1,2,1,1.75,0.375,2,0,4,4,2,2,4,0,9,9,4,4,0,0,14,14,3.5,5.25,0,6,24,18,11.25,6.375,6,0,1,1,0.25,0.375,0,0,2,2,1,1,2,0,3,3,1,1,0,0,0,0,0,0,0,2,3,1,2.25,0.375,2,9.105,15.02,5.914999999999999,10.86875,2.075625,9.105,0,0,0,0,0,0,0,1.5484712,1.5484712,0.3871178,0.5806767,0,12,225,213,110.75,98.75,12
ZrS,119.2634061,43.95993829,Zr1 S1,16,40,24,28,12,16,44,88,44,66,22,44,32.065,91.224,59.159000000000006,61.6445,29.579500000000003,32.065,388.36,2128,1739.6399999999999,1258.18,869.8199999999999,388.36,4,16,12,10,6,4,3,5,2,4,1,3,105,175,70,140,35,105,1.33,2.58,1.25,1.955,0.625,1.33,2,2,0,2,0,2,0,4,4,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,4,6,2,5,1,4,0,0,0,0,0,0,0,2,2,1,1,0,0,8,8,4,4,0,0,0,0,0,0,0,2,8,6,5,3,2,23.195,25.786875,2.591874999999998,24.4909375,1.295937499999999,23.195,0,2.202,2.202,1.101,1.101,0,0,0,0,0,0,0,70,194,124,132,62,70
